id_anonimo,campus,tipo_campus,cargo,classe_cargo,nivel_pretendido,nivel_reconhecido,status
9eae711b7db64f5f,CNAT,Capital,Assistente Social,Classe E,RSC-V,RSC-V,Deferido
d88ef4171517b925,NC,Interior,Assistente em Administração,Classe D,RSC-V,RSC-V,Deferido
8d9e2b7ea34eef24,CM,Interior,Tradutor e Intérprete de Libras,Classe D,RSC-V,RSC-V,Deferido
ca923ec9a2b9dc34,CN,Interior,Assistente em Administração,Classe D,RSC-V,RSC-V,Deferido
160e2a9992dcdf74,CN,Interior,Técnico em Enfermagem,Classe D,RSC-V,RSC-V,Deferido
785f1a30bae3462b,NC,Interior,Técnico de Laboratório Area,Classe D,RSC-V,RSC-V,Deferido
95e39ec4cc516871,CN,Interior,Assistente em Administração,Classe D,RSC-V,RSC-V,Deferido
dbcd4b5540710eec,CNAT,Capital,Contador,Classe E,RSC-VI,RSC-VI,Deferido
4cea66d72f10db58,CM,Interior,Auxiliar em Assuntos Educacionais,Classe C,RSC-V,RSC-V,Deferido
db13a3fcee20b701,CNAT,Capital,Pedagogo,Classe E,RSC-VI,RSC-VI,Deferido
3441b8e1e52c72bb,PAAS,Interior,Administrador,Classe E,RSC-V,RSC-V,Deferido
13789061d410ecf7,CM,Interior,Assistente Social,Classe E,RSC-VI,RSC-VI,Deferido
2fab903d9da01cd8,CN,Interior,Técnico de Laboratório Area,Classe D,RSC-VI,RSC-VI,Deferido
57665e067fe3cc30,RE,Capital,Bibliotecário-Documentalista,Classe E,RSC-VI,RSC-VI,Deferido
e3d4c063ca269f60,RE,Capital,Tecnólogo,Classe E,RSC-V,RSC-V,Deferido
0e6033c5485de0e8,CN,Interior,Psicólogo,Classe E,RSC-VI,RSC-VI,Deferido
fe958ff3345a38e0,SM,Interior,Administrador,Classe E,RSC-VI,RSC-VI,Deferido
6ff709b45b1e9176,CNAT,Capital,Técnico de Laboratório Area,Classe D,RSC-V,RSC-V,Deferido
12036bd64c4c5a59,CA,Interior,Assistente em Administração,Classe D,RSC-VI,RSC-VI,Deferido
3e52a225a5546588,CNAT,Capital,Médico,Classe E,RSC-VI,RSC-VI,Deferido
a514635c2dc79f49,CNAT,Capital,Assistente em Administração,Classe D,RSC-V,RSC-V,Deferido
11ef0c436d08cff2,CNAT,Capital,Assistente em Administração,Classe D,RSC-VI,RSC-VI,Deferido
d6bea0d01ff272f7,AP,Interior,Assistente Social,Classe E,RSC-VI,RSC-VI,Deferido
59c74fee98d979fa,CA,Interior,Assistente em Administração,Classe D,RSC-V,RSC-V,Deferido
b223870356632f56,CNAT,Capital,Assistente em Administração,Classe D,RSC-VI,RSC-VI,Deferido
9bfb5216edd5779d,CN,Interior,Assistente em Administração,Classe D,RSC-VI,RSC-VI,Deferido
980abd3ba5caf4a2,RE,Capital,Auditor,Classe E,RSC-VI,RSC-VI,Deferido
a01af07501cbb47d,CANG,Interior,Técnico de Laboratório Area,Classe D,RSC-V,RSC-V,Deferido
61918de23b1b4e1e,AP,Interior,Assistente em Administração,Classe D,RSC-VI,RSC-VI,Deferido
2af68a7ec8d956d2,SPP,Interior,Auxiliar em Assuntos Educacionais,Classe C,RSC-V,RSC-V,Deferido
8626c3d765652337,MO,Interior,Vigilante,Classe D,RSC-V,RSC-V,Deferido
90d9c1ac0226ac13,PF,Interior,Odontólogo - 40 Horas,Classe E,RSC-VI,RSC-VI,Deferido
1fc903d80cb16ede,CANG,Interior,Assistente em Administração,Classe D,RSC-V,RSC-V,Deferido
fa3f6791119f5eea,CNAT,Capital,Auxiliar em Administração,Classe C,RSC-V,RSC-V,Deferido
a7aa20705ed86bc2,CM,Interior,Assistente em Administração,Classe D,RSC-V,RSC-V,Deferido
4b7a209db923326d,CNAT,Capital,Técnico Em Seguranca Do Trabalho,Classe D,RSC-V,RSC-V,Deferido
a796fe75ad3a1032,MO,Interior,Assistente Social,Classe E,RSC-VI,RSC-VI,Deferido
5fd6f4260a04ab0f,RE,Capital,Assistente em Administração,Classe D,RSC-V,RSC-V,Deferido
8ff4b73d9f162dbc,AP,Interior,Assistente em Administração,Classe D,RSC-VI,RSC-VI,Deferido
ba303755e6bf567f,RE,Capital,Nutricionista,Classe E,RSC-V,RSC-V,Deferido
c9c80c622511aaaf,PAAS,Interior,Assistente em Administração,Classe D,RSC-V,RSC-V,Deferido
